"Bande","CoefficientDeflexion"
"157","0.008609190530508"
"158","0.0075083323162167"
"160","0.005266865954859"
"159","0.0044387690442152"
"186","0.0043241157560911"
"162","0.0041913805561193"
"25","0.0040121472843774"
"152","0.0036470475564867"
"156","0.0035276924214372"
"185","0.0034240603887409"
"22","0.0032852905964907"
"176","0.0032622872009885"
"26","0.0032558379146389"
"178","0.0030590133260369"
"161","0.0030311496487232"
"51","0.0029899270718828"
"23","0.0028445836445868"
"28","0.0027366231238712"
"73","0.0027124733039541"
"98","0.002542297450321"
"164","0.002536513860478"
"194","0.0022879801923549"
"183","0.0021568574823817"
"97","0.002045529715589"
"184","0.0017165329641121"
"52","0.0016056572840369"
"101","0.0015741893487715"
"180","0.0015417961003415"
"32","0.0014318698425649"
"137","0.0012378277633493"
"64","0.0012222293105404"
"187","0.0010530689698662"
"111","0.0010360666088221"
"138","0.00098829225665045"
"33","0.00092827674631502"
"196","0.00091189561278037"
"29","0.00090130074112677"
"81","0.00085477243804654"
"106","0.00080575623425105"
"113","0.00078363354952931"
"67","0.00077685490324363"
"102","0.00076924991511085"
"149","0.00073241344189295"
"154","0.00072525246022487"
"19","0.00070530177123664"
"150","0.00069852075799799"
"55","0.00067992092496035"
"109","0.00066018833562404"
"24","0.00065646182673982"
"99","0.00065630265380327"
"174","0.00065597370848552"
"143","0.00063190595168396"
"21","0.00061305428849194"
"39","0.00060399048102872"
"169","0.00060235304946801"
"57","0.00060033795077637"
"61","0.00059962216981864"
"182","0.00057711000791618"
"108","0.00057359662203103"
"40","0.00054720169446631"
"117","0.00052554462070236"
"50","0.00048869936545639"
"173","0.00047207361699352"
"195","0.00044736838496171"
"83","0.00044585827459529"
"20","0.00039292983954122"
"179","0.00037453392527358"
"63","0.00036404552334991"
"120","0.00035903556171436"
"139","0.00035598425799669"
"168","0.00033376042198011"
"107","0.0003287849443726"
"119","0.00031573543385213"
"68","0.00031455175924258"
"148","0.00031232076413733"
"114","0.00031123049859074"
"1","0.00030898922181323"
"92","0.00028803403731487"
"125","0.00028740706809879"
"140","0.00027960997074236"
"41","0.00027374925479801"
"141","0.00027279408519528"
"46","0.00027029124354333"
"94","0.00026908084259757"
"54","0.00026878127007484"
"48","0.00025993553055491"
"72","0.00025309679243645"
"12","0.00023811374167875"
"172","0.00022285068661578"
"142","0.00022256690956075"
"60","0.00022247630338705"
"80","0.0002186465972399"
"100","0.00021700989720643"
"43","0.00021108167112905"
"126","0.0002013644829571"
"66","0.00020051878186658"
"115","0.00020033070202983"
"56","0.00017803988120665"
"58","0.00017801743780298"
"146","0.00017436597525569"
"167","0.00017012958045387"
"38","0.0001638887870932"
"131","0.00016374650652067"
"85","0.00015894045786475"
"181","0.00015526320910009"
"121","0.0001522152642366"
"74","0.00015058710115294"
"18","0.00014601914258473"
"96","0.00014554044737998"
"118","0.00014216449052685"
"192","0.00013843415414128"
"165","0.00013303629507339"
"62","0.00013034595392712"
"45","0.00011941920435373"
"47","0.00011611087280589"
"175","0.0001138830988903"
"171","0.00011073759714891"
"69","9.5153337349606E-5"
"112","9.4765709340753E-5"
"128","9.2970247247318E-5"
"31","8.3361393339328E-5"
"89","8.2056331066029E-5"
"95","7.9642761754756E-5"
"122","7.815869647815E-5"
"37","7.7578923845946E-5"
"88","7.7122642243788E-5"
"188","7.2602303299665E-5"
"36","7.0748980136784E-5"
"199","6.6873073127414E-5"
"49","6.3985246512787E-5"
"104","5.9438640540483E-5"
"123","5.9244421894108E-5"
"197","5.5258568950687E-5"
"30","5.3840362742828E-5"
"191","4.9829271737568E-5"
"59","4.3698679232147E-5"
"2","4.1294052309656E-5"
"86","3.7440926799355E-5"
"82","3.4903967798391E-5"
"53","3.4691872812049E-5"
"0","3.4494800053344E-5"
"44","3.3126718255751E-5"
"124","2.7146575802872E-5"
"79","2.6945864208322E-5"
"78","2.6695847634898E-5"
"177","2.4755571074483E-5"
"133","2.3405045785484E-5"
"10","2.2406949771722E-5"
"91","2.0824727344494E-5"
"5","2.026107966777E-5"
"105","1.7487534750408E-5"
"103","1.7347162022719E-5"
"170","1.6951695305688E-5"
"15","1.6468393130166E-5"
"155","1.5075433791477E-5"
"116","1.4797830446647E-5"
"34","1.4619205891442E-5"
"151","1.3768375551813E-5"
"147","1.0824831093679E-5"
"87","1.0417660267723E-5"
"70","9.4654137286428E-6"
"6","9.2797610755831E-6"
"42","8.3563487704317E-6"
"77","8.197922552204E-6"
"145","7.3295396332135E-6"
"35","7.0883756071679E-6"
"135","7.0298044844468E-6"
"144","6.8446994756942E-6"
"136","6.6273049169918E-6"
"90","6.5110525133741E-6"
"93","6.3888371304637E-6"
"8","5.3475842129793E-6"
"129","5.2627707221478E-6"
"7","4.3678304990697E-6"
"84","4.1709617450766E-6"
"153","3.4293174789708E-6"
"130","3.1033345687449E-6"
"75","2.8731921486355E-6"
"134","2.3079228577511E-6"
"16","2.0739521368042E-6"
"190","2.0007939955036E-6"
"198","1.9142712097674E-6"
"11","1.6443609730558E-6"
"17","1.6193955964592E-6"
"4","1.4207012507137E-6"
"14","1.3833166054377E-6"
"110","1.3678541154686E-6"
"193","1.2771682295618E-6"
"163","1.2585792489463E-6"
"27","1.118950232414E-6"
"76","9.9709554637241E-7"
"13","6.4697616054683E-7"
"189","6.3620256602377E-7"
"166","5.3028004957077E-7"
"3","5.2838105416417E-7"
"71","4.7905360587915E-7"
"127","4.4063002013616E-7"
"9","3.915782178463E-7"
"65","1.6261226043366E-7"
"132","8.0938913191912E-8"
