"Configuration","Classe","F1 Score"
"d1_c4","0","0.88544750626281"
"d1_c4","1","0.71428571428571"
"d1_c4","2","0.79591836734694"
"d1_c4","3","0.79623824451411"
"d1_c4","4","0.79545454545455"
"d1_c4","5","0.84393063583815"
"d1_c4","6","0.93515358361775"
"d1_c4","7","0.5"
"d1_c4","8","0.95431472081218"
"d1_c4","9","0"
"d1_c4","10","0.78846153846154"
"d1_c4","11","0.82352941176471"
"d1_c4","12","0.76851851851852"
"d1_c4","13","0.97560975609756"
"d1_c4","14","0.78895463510848"
"d1_c4","15","0.2247191011236"
"d1_c4","16","0.92307692307692"
"d1_c8","0","0.88915038832667"
"d1_c8","1","0.8"
"d1_c8","2","0.7870528109029"
"d1_c8","3","0.8693009118541"
"d1_c8","4","0.775"
"d1_c8","5","0.85393258426966"
"d1_c8","6","0.93150684931507"
"d1_c8","7","0.66666666666667"
"d1_c8","8","0.96875"
"d1_c8","9","0"
"d1_c8","10","0.76379690949227"
"d1_c8","11","0.87765419615774"
"d1_c8","12","0.76616915422886"
"d1_c8","13","0.93827160493827"
"d1_c8","14","0.8169014084507"
"d1_c8","15","0.72340425531915"
"d1_c8","16","0.9047619047619"
"d2_c4","0","0.88107847857487"
"d2_c4","1","0.94117647058824"
"d2_c4","2","0.74897119341564"
"d2_c4","3","0.83056478405316"
"d2_c4","4","0.87912087912088"
"d2_c4","5","0.86046511627907"
"d2_c4","6","0.94809688581315"
"d2_c4","7","0.72727272727273"
"d2_c4","8","0.96373056994819"
"d2_c4","9","0.4"
"d2_c4","10","0.78384798099762"
"d2_c4","11","0.79515989628349"
"d2_c4","12","0.81578947368421"
"d2_c4","13","0.93827160493827"
"d2_c4","14","0.76729559748428"
"d2_c4","15","0.71428571428571"
"d2_c4","16","0.9047619047619"
"d2_c8","0","0.90645828545162"
"d2_c8","1","0.8"
"d2_c8","2","0.808"
"d2_c8","3","0.91616766467066"
"d2_c8","4","0.86363636363636"
"d2_c8","5","0.8735632183908"
"d2_c8","6","0.91891891891892"
"d2_c8","7","0.66666666666667"
"d2_c8","8","0.96842105263158"
"d2_c8","9","0"
"d2_c8","10","0.82038834951456"
"d2_c8","11","0.88932038834951"
"d2_c8","12","0.85972850678733"
"d2_c8","13","0.93827160493827"
"d2_c8","14","0.8953488372093"
"d2_c8","15","0.82517482517483"
"d2_c8","16","0.88372093023256"
"d3_c4","0","0.90449438202247"
"d3_c4","1","0.88888888888889"
"d3_c4","2","0.86194029850746"
"d3_c4","3","0.88202247191011"
"d3_c4","4","0.87640449438202"
"d3_c4","5","0.8268156424581"
"d3_c4","6","0.91166077738516"
"d3_c4","7","0.8"
"d3_c4","8","0.92537313432836"
"d3_c4","9","0"
"d3_c4","10","0.85639686684073"
"d3_c4","11","0.86558627264061"
"d3_c4","12","0.86307053941909"
"d3_c4","13","0.93827160493827"
"d3_c4","14","0.87265917602996"
"d3_c4","15","0.78787878787879"
"d3_c4","16","0.9047619047619"
"d3_c8","0","0.89324324324324"
"d3_c8","1","0.5"
"d3_c8","2","0.85198555956679"
"d3_c8","3","0.9047619047619"
"d3_c8","4","0.88421052631579"
"d3_c8","5","0.8361581920904"
"d3_c8","6","0.90102389078498"
"d3_c8","7","0.76923076923077"
"d3_c8","8","0.93"
"d3_c8","9","0"
"d3_c8","10","0.81052631578947"
"d3_c8","11","0.88016967126193"
"d3_c8","12","0.70142180094787"
"d3_c8","13","0.93827160493827"
"d3_c8","14","0.87784679089027"
"d3_c8","15","0.89189189189189"
"d3_c8","16","0.9"
